Year,Week,Day,Date,Time,Scoretype,WL,Team,Opp,TmScore,OppScore,off_1stD,off_TotYd,off_ PassY,off_RushY,off_TO,def_1stD,def_TotYd,def_PassY,def_RushY,def_TO
2016,8,Sun,30-Oct,12:47PM ET,boxscore,L,Arizona Cardinals,Carolina Panthers,20,30,22,340,316,24,2,19,349,208,141,1
2016,10,Sun,13-Nov,4:25PM ET,boxscore,W,Arizona Cardinals,San Francisco 49ers,23,20,26,443,363,80,4,15,281,198,83,1
2016,11,Sun,20-Nov,1:00PM ET,boxscore,L,Arizona Cardinals,Minnesota Vikings,24,30,24,290,155,135,2,16,217,145,72,1
2016,12,Sun,27-Nov,1:00PM ET,boxscore,L,Arizona Cardinals,Atlanta Falcons,19,38,23,332,274,58,1,28,360,244,116,1
2016,13,Sun,4-Dec,4:25PM ET,boxscore,W,Arizona Cardinals,Washington Redskins,31,23,24,369,281,88,,19,333,246,87,2
2016,14,Sun,11-Dec,1:00PM ET,boxscore,L,Arizona Cardinals,Miami Dolphins,23,26,21,300,125,175,4,15,314,231,83,3
2016,15,Sun,18-Dec,4:05PM ET,boxscore,L,Arizona Cardinals,New Orleans Saints,41,48,26,425,309,116,2,33,488,358,130,1
2016,16,Sat,24-Dec,4:25PM ET,boxscore,W,Arizona Cardinals,Seattle Seahawks,34,31,21,370,276,94,1,24,391,313,78,1
2016,17,Sun,1-Jan,4:25PM ET,boxscore,W,Arizona Cardinals,Los Angeles Rams,44,6,21,344,260,84,2,9,123,71,52,3
2017,1,Sun,10-Sep,1:00PM ET,boxscore,L,Arizona Cardinals,Detroit Lions,23,35,24,308,263,45,4,19,367,285,82,1
2017,2,Sun,17-Sep,1:00PM ET,boxscore,W,Arizona Cardinals,Indianapolis Colts,16,13,17,389,306,83,1,18,266,190,76,1
2017,3,Mon,25-Sep,8:30PM ET,boxscore,L,Arizona Cardinals,Dallas Cowboys,17,28,22,332,283,49,,15,273,174,99,
2017,4,Sun,1-Oct,4:05PM ET,boxscore,W,Arizona Cardinals,San Francisco 49ers,18,15,25,368,317,51,1,20,305,210,95,1
2017,5,Sun,8-Oct,1:00PM ET,boxscore,L,Arizona Cardinals,Philadelphia Eagles,7,34,16,307,276,31,1,19,419,297,122,1
2017,6,Sun,15-Oct,4:05PM ET,boxscore,W,Arizona Cardinals,Tampa Bay Buccaneers,38,33,23,432,272,160,2,21,412,344,68,2
2017,7,Sun,22-Oct,1:00PM ET,boxscore,L,Arizona Cardinals,Los Angeles Rams,0,33,10,196,171,25,2,28,425,228,197,1
2017,9,Sun,5-Nov,4:05PM ET,boxscore,W,Arizona Cardinals,San Francisco 49ers,20,10,20,368,201,167,2,17,329,266,63,2
2017,10,Thu,9-Nov,8:25PM ET,boxscore,L,Arizona Cardinals,Seattle Seahawks,16,22,24,290,256,34,1,14,287,212,75,
2017,11,Sun,19-Nov,1:00PM ET,boxscore,L,Arizona Cardinals,Houston Texans,21,31,17,292,244,48,2,22,357,223,134,2
2017,12,Sun,26-Nov,4:25PM ET,boxscore,W,Arizona Cardinals,Jacksonville Jaguars,27,24,20,344,236,108,2,19,219,128,91,3
2017,13,Sun,3-Dec,4:25PM ET,boxscore,L,Arizona Cardinals,Los Angeles Rams,16,32,19,305,187,118,2,18,303,213,90,1
2017,14,Sun,10-Dec,4:05PM ET,boxscore,W,Arizona Cardinals,Tennessee Titans,12,7,16,261,125,136,,14,204,139,65,2
2017,15,Sun,17-Dec,1:00PM ET,boxscore,L,Arizona Cardinals,Washington Redskins,15,20,19,286,145,141,2,14,218,187,31,1
2017,16,Sun,24-Dec,4:25PM ET,boxscore,W,Arizona Cardinals,New York Giants,23,0,19,289,215,74,2,12,293,250,43,3
2017,17,Sun,31-Dec,4:25PM ET,boxscore,W,Arizona Cardinals,Seattle Seahawks,26,24,19,259,143,116,1,13,296,195,101,
2018,1,Sun,9-Sep,4:25PM ET,boxscore,L,Arizona Cardinals,Washington Redskins,6,24,14,213,145,68,2,30,429,247,182,1
2018,2,Sun,16-Sep,4:05PM ET,boxscore,L,Arizona Cardinals,Los Angeles Rams,0,34,5,137,83,54,1,24,432,342,90,1
2018,3,Sun,23-Sep,4:25PM ET,boxscore,L,Arizona Cardinals,Chicago Bears,14,16,13,221,168,53,4,21,316,194,122,2
2018,4,Sun,30-Sep,4:05PM ET,boxscore,L,Arizona Cardinals,Seattle Seahawks,17,20,18,263,171,92,1,19,331,160,171,
2018,5,Sun,7-Oct,4:25PM ET,boxscore,W,Arizona Cardinals,San Francisco 49ers,28,18,10,220,164,56,,33,447,300,147,5
2018,6,Sun,14-Oct,1:00PM ET,boxscore,L,Arizona Cardinals,Minnesota Vikings,17,27,16,268,208,60,2,20,411,216,195,2
2018,7,Thu,18-Oct,8:20PM ET,boxscore,L,Arizona Cardinals,Denver Broncos,10,45,14,223,154,69,5,15,309,178,131,1
2018,8,Sun,28-Oct,4:25PM ET,boxscore,W,Arizona Cardinals,San Francisco 49ers,18,15,20,321,233,88,2,16,267,160,107,
2018,10,Sun,11-Nov,1:00PM ET,boxscore,L,Arizona Cardinals,Kansas City Chiefs,14,26,21,260,166,94,2,20,330,212,118,
2018,11,Sun,18-Nov,4:05PM ET,boxscore,L,Arizona Cardinals,Oakland Raiders,21,23,13,282,128,154,2,19,325,173,152,
2018,12,Sun,25-Nov,4:05PM ET,boxscore,L,Arizona Cardinals,Los Angeles Chargers,10,45,10,149,87,62,1,30,414,236,178,1
2018,13,Sun,2-Dec,1:00PM ET,boxscore,W,Arizona Cardinals,Green Bay Packers,20,17,18,315,133,182,,22,325,227,98,
2018,14,Sun,9-Dec,4:25PM ET,boxscore,L,Arizona Cardinals,Detroit Lions,3,17,22,279,218,61,1,16,218,96,122,1
2018,15,Sun,16-Dec,1:00PM ET,boxscore,L,Arizona Cardinals,Atlanta Falcons,14,40,18,253,193,60,3,23,435,220,215,
2018,16,Sun,23-Dec,4:05PM ET,boxscore,L,Arizona Cardinals,Los Angeles Rams,9,31,15,263,159,104,,33,461,192,269,1
2018,17,Sun,30-Dec,4:25PM ET,boxscore,L,Arizona Cardinals,Seattle Seahawks,24,27,12,198,113,85,2,16,291,109,182,1
